番号,単語,品詞,発音記号,意味,短い意味,ニュアンス解説,コロケーション,例文_英語,例文_日本語,言い換え,メモ
90,calorie,noun,/ˈkæləri/,カロリー、熱量,a unit of energy in food,食品から得られるエネルギー量を表す。健康・食生活・肥満の話題でよく使う。“high-calorie” も重要。,high-calorie food / calorie intake / burn calories / reduce calories,People who eat too many high-calorie foods may gain weight.,高カロリー食品を食べすぎる人は体重が増える可能性がある。,energy unit; food energy; nutritional energy; kilocalorie,Task 2のhealth topicで使いやすい。“calorie intake” は重要コロケーション。
91,ingredient,noun,/ɪnˈɡriːdiənt/,材料、成分,one part of a food or mixture,料理の材料だけでなく、成功や問題を構成する「要素」という意味でも使える。食品・健康・文化の話題で使いやすい。,natural ingredients / fresh ingredients / artificial ingredients / key ingredient,Traditional dishes often use fresh local ingredients.,伝統料理は新鮮な地元の材料をよく使う。,component; element; material; substance,Speakingのfood topicやTask 2のhealth topicで便利。
92,constitute,verb,/ˈkɑːnstətuːt/,構成する、〜に当たる,to form or make up something,“make up” よりフォーマルで、割合や要素が全体を構成する時に使う。Task 1で「Aが全体の何％を占める」と言いたい時に便利。,constitute a large proportion / constitute the majority / constitute part of / constitute a risk,Women constituted the majority of students in the course.,女性がそのコースの学生の大多数を占めていた。,make up; form; comprise; represent,Task 1で “A constituted X% of...” と使える。
93,age brackets,noun,/ˈeɪdʒ ˌbrækɪts/,年齢層、年齢区分,age groups used for comparison,統計やグラフで人々を年齢ごとに分ける時に使う。Task 1で年齢別データを説明する時に非常に便利。,different age brackets / younger age brackets / older age brackets / across all age brackets,People in the older age brackets spent more time watching television.,高い年齢層の人々はテレビを見る時間がより長かった。,age groups; age categories; age ranges; age bands,Task 1のbar chartやtableでかなり使いやすい。
94,midway,adverb,/ˌmɪdˈweɪ/,中間で、途中で,in the middle of a period or place,期間・距離・過程のちょうど中間を表す。Task 1では “midway through the period” の形で使いやすい。,midway through the period / midway through the year / stop midway / reach midway,The figure peaked midway through the period before declining.,その数値は期間の中頃に最高点に達した後、減少した。,halfway; in the middle; at the midpoint; halfway through,Task 1の時系列グラフで便利。
95,ill-equipped,adjective,/ˌɪl ɪˈkwɪpt/,十分な準備ができていない、設備が不十分な,not properly prepared or supplied,人・学校・病院・政府などが、必要な知識・設備・資源を持っていない時に使う。少しフォーマルでTask 2向き。,ill-equipped to deal with / ill-equipped schools / ill-equipped hospitals / ill-equipped for emergencies,Many rural schools are ill-equipped to provide digital education.,多くの地方の学校はデジタル教育を提供するための設備が十分ではない。,unprepared; poorly equipped; under-resourced; not ready,Task 2のeducation・healthcare・disaster topicで使いやすい。
96,casualty,noun,/ˈkæʒuəlti/,死傷者、犠牲者,a person injured or killed in an accident or war,事故・災害・戦争などでけがをした人や亡くなった人を指す。社会問題やニュース系のReadingでよく出る。,civilian casualties / high casualties / reduce casualties / casualty figures,The earthquake caused many casualties in coastal areas.,その地震は沿岸地域で多くの死傷者を出した。,victim; injured person; fatality; loss,Writingで使う場合は重い内容に限定する。
97,marginally,adverb,/ˈmɑːrdʒɪnəli/,わずかに、少しだけ,slightly or by a small amount,Task 1で数値の差が小さい時に使える。“slightly” より少しフォーマル。,marginally higher / marginally lower / increase marginally / marginally different,The proportion of men was marginally higher than that of women.,男性の割合は女性の割合よりわずかに高かった。,slightly; a little; minimally; narrowly,Task 1で小さな差を表す時に便利。
98,pronounced,adjective,/prəˈnaʊnst/,顕著な、はっきりした,very noticeable or clear,変化・違い・傾向が明確に見られる時に使う。“big” よりアカデミックでTask 1に向いている。,pronounced difference / pronounced increase / pronounced decline / more pronounced,The decline was more pronounced among younger people.,その減少は若者の間でより顕著だった。,noticeable; marked; significant; clear,Task 1で “a pronounced increase/decline” が便利。
99,compostable,adjective,/kəmˈpoʊstəbl/,堆肥化できる,able to break down into compost,食品容器や包装が堆肥として分解できることを表す。環境・廃棄物・プラスチック問題で使える。,compostable packaging / compostable materials / compostable waste / fully compostable,Compostable packaging can reduce the amount of plastic waste sent to landfills.,堆肥化可能な包装は埋立地に送られるプラスチックごみの量を減らせる。,biodegradable; decomposable; eco-friendly; organic,Task 2のenvironment topicで便利。ただし “biodegradable” と完全に同じではない。
100,dumping,noun,/ˈdʌmpɪŋ/,投棄、不法投棄,throwing waste somewhere illegally or carelessly,ごみや有害物質を適切に処理せず捨てることを表す。環境汚染の原因としてTask 2で使いやすい。,illegal dumping / waste dumping / dumping sites / dumping of chemicals,Illegal dumping can contaminate soil and water.,不法投棄は土壌や水を汚染する可能性がある。,disposal; throwing away; littering; waste discharge,Task 2のpollution topicで便利。
101,disposal,noun,/dɪˈspoʊzəl/,処分、廃棄,the act of getting rid of waste,ごみ・廃棄物・不要物を処理すること。環境問題では “waste disposal” が非常に重要。,waste disposal / safe disposal / proper disposal / disposal of plastic,Proper waste disposal is necessary to protect the environment.,環境を守るためには適切な廃棄物処理が必要である。,waste management; removal; discarding; treatment,Task 2のenvironmentで必須表現。
102,versatility,noun,/ˌvɝːsəˈtɪləti/,多用途性、応用力,the ability to be used in many ways,物・技術・人の能力が多くの場面で使えることを表す。製品・スキル・素材の説明に便利。,high versatility / versatility of technology / versatility in use / great versatility,The versatility of smartphones makes them useful for both work and study.,スマートフォンの多用途性により、仕事にも勉強にも役立つ。,flexibility; adaptability; usefulness; multifunctionality,Task 2のtechnologyやwork topicで使える。
103,remedied,verb,/ˈremədid/,改善された、解決された,fixed or improved,“remedy” の過去形・過去分詞で、問題や欠点が改善された時に使う。ややフォーマルで、Writingでは受動態でよく使える。,be remedied / easily remedied / remedied by policy / problems remedied by education,This problem can be remedied by stricter waste management policies.,この問題はより厳しい廃棄物管理政策によって改善できる。,fixed; solved; corrected; improved,Task 2で “can be remedied by...” が使いやすい。
104,decomposable,adjective,/ˌdiːkəmˈpoʊzəbl/,分解可能な,able to break down naturally,物質が自然に分解される性質を表す。環境・包装・廃棄物の話題で使えるが、日常的には “biodegradable” の方が一般的。,decomposable materials / decomposable waste / easily decomposable / decomposable packaging,Decomposable materials are less harmful to the environment than conventional plastics.,分解可能な素材は従来のプラスチックより環境への害が少ない。,biodegradable; compostable; degradable; breakable down,Task 2では “biodegradable” の方が自然な場合が多い。
105,petroleum,noun,/pəˈtroʊliəm/,石油、原油,oil found underground and used as fuel,燃料やプラスチック原料として使われる天然資源を表す。環境・エネルギー・産業の話題で重要。,petroleum products / petroleum-based plastics / petroleum industry / petroleum consumption,Petroleum-based plastics are difficult to replace completely.,石油由来のプラスチックを完全に置き換えることは難しい。,oil; crude oil; fossil fuel; mineral oil,Task 2のenergyやenvironment topicで使いやすい。
106,biodegradable,adjective,/ˌbaɪoʊdɪˈɡreɪdəbl/,生分解性の,naturally broken down by living organisms,微生物などによって自然に分解される性質を表す。プラスチックや包装材の環境対策でよく使う。,biodegradable plastic / biodegradable packaging / biodegradable materials / fully biodegradable,Biodegradable plastics may help reduce long-term environmental damage.,生分解性プラスチックは長期的な環境被害を減らすのに役立つ可能性がある。,decomposable; compostable; degradable; eco-friendly,Task 2のenvironment topicで非常に使いやすい。
107,countermeasure,noun,/ˈkaʊntərmeʒər/,対策、対抗策,an action taken to prevent a problem,問題・危険・災害・犯罪などに対して取る具体的な対策を表す。少しフォーマルで、Task 2の解決策に使いやすい。,effective countermeasures / take countermeasures / countermeasures against pollution / policy countermeasures,Governments should take countermeasures against plastic pollution.,政府はプラスチック汚染に対する対策を取るべきである。,measure; solution; response; preventive action,Task 2のsolution paragraphで便利。
108,mismanage,verb,/ˌmɪsˈmænɪdʒ/,管理を誤る、不適切に扱う,to manage something badly,資金・資源・廃棄物・組織などを適切に管理できない時に使う。問題の原因を説明する時に便利。,mismanage waste / mismanage resources / mismanage funds / badly mismanage,"If waste is mismanaged, it can cause serious environmental problems.",廃棄物が不適切に管理されると、深刻な環境問題を引き起こす可能性がある。,handle poorly; manage badly; misuse; mishandle,Task 2で原因説明に使える。“mismanaged waste” も重要。
109,existent,adjective,/ɪɡˈzɪstənt/,存在している,existing or real,「存在している」という意味だが、日常やIELTS Writingでは “existing” の方が自然。特定の文脈以外では無理に使わない方がよい。,existent problems / existent laws / barely existent / non-existent support,Support for recycling is almost non-existent in some areas.,一部の地域ではリサイクルへの支援がほとんど存在しない。,existing; present; real; actual,“existent” 単独より “non-existent” の形の方がよく使われる。
110,policymaker,noun,/ˈpɑːləsiˌmeɪkər/,政策立案者,a person who makes government policy,政府や組織で政策を作る人を指す。Task 2で政府の対応や社会制度について書く時に非常に使いやすい。,government policymakers / policymakers should / inform policymakers / influence policymakers,Policymakers should encourage companies to reduce plastic waste.,政策立案者は企業にプラスチックごみの削減を促すべきである。,lawmaker; decision-maker; government official; policy planner,Task 2で “policymakers should...” の形が便利。
111,irrespective,adjective,/ˌɪrɪˈspektɪv/,〜に関係なく、〜を問わず,regardless of something,通常は “irrespective of...” の形で使う。年齢・性別・背景などに関係なく同じ扱いをする時に便利で、Task 2の公平性の話題に向いている。,irrespective of age / irrespective of gender / irrespective of background / irrespective of income,All children should have access to education irrespective of their family income.,すべての子どもは家庭の収入に関係なく教育を受けられるべきである。,regardless of; regardless; no matter; independent of,Task 2で “irrespective of...” として使う。単独では使いにくい。
112,disseminate,verb,/dɪˈsemɪneɪt/,広める、普及させる,to spread information or ideas,情報・知識・研究結果などを広く伝える時に使うフォーマルな語。“spread” より学術的でWriting向き。,disseminate information / disseminate knowledge / disseminate research findings / widely disseminate,Governments should disseminate accurate information during public health crises.,政府は公衆衛生上の危機の際に正確な情報を広めるべきである。,spread; circulate; distribute; publicise,Task 2のeducation・media・health topicで使える。
113,fraudulently,adverb,/ˈfrɔːdʒələntli/,不正に、詐欺的に,in a dishonest or illegal way,詐欺や不正行為によって何かを行う時に使う。法律・犯罪・金融の文脈で使う硬めの語。,fraudulently obtain / fraudulently claim / fraudulently use / act fraudulently,Some people fraudulently claim government benefits.,一部の人々は政府の給付金を不正に請求する。,illegally; dishonestly; deceptively; unlawfully,犯罪・法律系Readingで出やすい。Writingでは必要な時だけ使う。
114,infringement,noun,/ɪnˈfrɪndʒmənt/,侵害、違反,a violation of a law or right,法律・権利・著作権・規則を侵害することを表す。特に “copyright infringement” がよく使われる。,copyright infringement / infringement of rights / patent infringement / serious infringement,Downloading films illegally can be considered copyright infringement.,映画を違法にダウンロードすることは著作権侵害と見なされる可能性がある。,violation; breach; offence; transgression,Task 2のtechnology・law・media topicで使える。
115,diversified,adjective,/daɪˈvɝːsəfaɪd/,多様化した、分散された,made more varied,経済・産業・投資・スキルなどが一つに依存せず、多様な要素を持つ状態を表す。フォーマルでTask 2向き。,diversified economy / diversified skills / diversified industries / highly diversified,A diversified economy is less vulnerable to global market changes.,多様化した経済は世界市場の変化に対して影響を受けにくい。,varied; broadened; expanded; mixed,Task 2のeconomyやemployment topicで便利。
116,robbery,noun,/ˈrɑːbəri/,強盗、強奪,the crime of stealing by force,“theft” は単なる盗みだが、“robbery” は暴力や脅しを伴う盗みを指す。犯罪トピックで重要。,armed robbery / bank robbery / street robbery / commit robbery,The city introduced more street cameras to reduce robbery.,その都市は強盗を減らすために街頭カメラを増やした。,theft; stealing; burglary; violent crime,Task 2のcrime topicで使える。“robbery” と “burglary” の違いに注意。
117,academically,adverb,/ˌækəˈdemɪkli/,学業面で、学問的に,in relation to study or education,学校での成績や学問的な能力について述べる時に使う。SpeakingやTask 2の教育トピックで便利。,perform academically / academically successful / academically gifted / struggle academically,Students who sleep well tend to perform better academically.,よく眠る学生は学業面でより良い成績を収める傾向がある。,educationally; intellectually; scholastically; in studies,Task 2のeducation topicで “perform academically” が使いやすい。
118,vandalism,noun,/ˈvændəlɪzəm/,器物破損、公共物破壊,deliberate damage to public or private property,壁の落書きや公共物の破壊など、意図的に物を壊す犯罪を指す。都市問題や若者の犯罪の話題で使える。,acts of vandalism / prevent vandalism / vandalism in public places / reduce vandalism,Better lighting in public areas may help reduce vandalism.,公共エリアの照明を改善することは器物破損を減らすのに役立つかもしれない。,property damage; destruction; graffiti; public disorder,Task 2のcrimeやurban problemsで使える。
119,dysfunctional,adjective,/dɪsˈfʌŋkʃənəl/,正常に機能していない、機能不全の,not working properly,家族・組織・制度などが本来の役割を果たしていない時に使う。やや強い否定語なので、理由を添えると自然。,dysfunctional family / dysfunctional system / dysfunctional organisation / become dysfunctional,A dysfunctional education system can limit children’s opportunities.,機能不全の教育制度は子どもの機会を制限する可能性がある。,broken; ineffective; poorly functioning; flawed,Task 2のfamily・education・government topicで使える。
120,leniently,adverb,/ˈliːniəntli/,寛大に、甘く,in a not strict way,罰や規則の適用が厳しくない時に使う。“too leniently” は犯罪・教育の話題で便利。,treat leniently / punish leniently / deal with leniently / too leniently,Young offenders should not always be treated too leniently.,若い犯罪者が常に甘く扱われるべきではない。,mildly; gently; forgivingly; not strictly,Task 2のcrime topicで使える。“lenient” の副詞形。
121,recidivism,noun,/rɪˈsɪdɪvɪzəm/,再犯、再犯傾向,repeated criminal behaviour,犯罪者が刑罰後に再び犯罪を犯すことを指す専門的な語。Crime topicで高得点語彙になり得るが、使い方は限定的。,reduce recidivism / high recidivism rates / prevent recidivism / recidivism among offenders,Education programs in prison may help reduce recidivism.,刑務所内の教育プログラムは再犯を減らすのに役立つ可能性がある。,reoffending; repeat offending; relapse into crime; repeated crime,Task 2のcrime and punishmentで便利。
122,unlawful,adjective,/ʌnˈlɔːfəl/,違法な、法律に反する,against the law,“illegal” とほぼ同じだが、ややフォーマルで法律文脈に向く。行為・侵入・使用などに使える。,unlawful activity / unlawful behaviour / unlawful entry / unlawful use,The unlawful dumping of waste should be punished more strictly.,廃棄物の違法投棄はより厳しく罰せられるべきである。,illegal; illicit; prohibited; against the law,Task 2のcrime・environment topicで使える。
123,industrial performance,noun,/ɪnˈdʌstriəl pərˈfɔːrməns/,産業実績、産業の成果,how well an industry performs,産業全体の生産性・成長率・収益性などを表す表現。経済や産業政策の文脈で使うフォーマルな表現。,improve industrial performance / strong industrial performance / weak industrial performance / measure industrial performance,Investment in technology can improve industrial performance.,技術への投資は産業実績を向上させることができる。,industrial productivity; economic performance; manufacturing output; sector performance,Task 2のeconomy topicで使えるが、少し硬め。
124,national output,noun,/ˈnæʃənəl ˈaʊtpʊt/,国全体の生産量、国内総生産に近い概念,the total production of a country,国全体が生み出す財やサービスの量を指す。経済成長や生産性の話題で使える。,increase national output / national output growth / measure national output / boost national output,Higher labour productivity can increase national output.,労働生産性の向上は国全体の生産量を増やすことができる。,GDP; total production; economic output; domestic output,Task 2のeconomy topicで便利。GDPと近いが完全に同じとは限らない。
125,labor productivity,noun,/ˈleɪbər ˌproʊdʌkˈtɪvəti/,労働生産性,output per worker or per hour worked,労働者1人あたり、または1時間あたりの生産量を表す。経済・働き方・技術導入の話題で非常に使いやすい。,improve labor productivity / increase labor productivity / labor productivity growth / low labor productivity,Automation can improve labor productivity by reducing repetitive tasks.,自動化は反復作業を減らすことで労働生産性を向上させることができる。,workforce productivity; output per worker; employee productivity; efficiency,Task 2のwork・technology・economy topicで便利。英国式は labour productivity。
126,excessive,adjective,/ɪkˈsesɪv/,過度の、多すぎる,too much or more than necessary,量・時間・費用・使用などが必要以上に多い時に使う。健康・スマホ・労働時間・消費の話題で非常に便利。,excessive use / excessive spending / excessive pressure / excessive consumption,Excessive screen time can harm children’s physical and mental health.,過度な画面時間は子どもの身体的・精神的健康に害を及ぼす可能性がある。,too much; extreme; unreasonable; unnecessary,Task 2でかなり使いやすい重要語。
127,problematic,adjective,/ˌprɑːbləˈmætɪk/,問題のある、厄介な,causing problems,単に “bad” と言うより客観的でアカデミック。政策・行動・考え方などが問題を引き起こす時に使う。,problematic issue / problematic behaviour / highly problematic / become problematic,Allowing children to use social media without guidance can be problematic.,子どもが指導なしにSNSを使うことを許すのは問題となり得る。,troublesome; difficult; concerning; harmful,Task 2で “This is problematic because...” が使いやすい。
128,tailor,verb,/ˈteɪlər/,合わせて調整する、仕立てる,to adapt something for a specific purpose,服を仕立てる意味もあるが、IELTSでは教育・政策・サービスなどを特定の人や目的に合わせる意味で便利。,tailor education to students’ needs / tailor services / tailor policies / tailor lessons,Teachers should tailor their lessons to students’ different abilities.,教師は授業を生徒の異なる能力に合わせて調整すべきである。,adapt; customise; adjust; modify,Task 2のeducation・policy topicで非常に使いやすい。
129,vulnerable,adjective,/ˈvʌlnərəbl/,弱い、被害を受けやすい,easily harmed or affected,子ども・高齢者・低所得者・環境など、悪影響を受けやすい対象に使う。社会問題のTask 2で重要。,vulnerable people / vulnerable groups / vulnerable to disease / protect vulnerable communities,Children are particularly vulnerable to the negative effects of online content.,子どもはオンラインコンテンツの悪影響を特に受けやすい。,at risk; exposed; defenseless; susceptible,Task 2のhealth・technology・inequality topicで非常に便利。
130,authoritative,adjective,/əˈθɔːrəteɪtɪv/,権威ある、信頼できる,confident and reliable because of knowledge or status,専門知識や地位に基づいて信頼できる情報・人物・資料を表す。ReadingやWritingで情報源を説明する時に使える。,authoritative source / authoritative information / authoritative report / authoritative figure,Students should rely on authoritative sources when writing academic essays.,学生は学術エッセイを書く時、信頼できる権威ある情報源に頼るべきである。,reliable; credible; official; expert,Task 2のmedia・education topicで使える。“authoritarian” とは意味が違うので注意。
131,prestigious,adjective,/preˈstɪdʒəs/,名門の、権威ある,respected and admired,大学・会社・賞・職業などが高く評価されている時に使う。SpeakingやTask 2で教育・仕事の話題に使いやすい。,prestigious university / prestigious company / prestigious award / prestigious position,Many students hope to enter a prestigious university.,多くの学生は名門大学に入ることを望んでいる。,respected; renowned; distinguished; well-known,educationやcareer topicで便利。“famous” よりフォーマル。
132,nurture,verb,/ˈnɝːtʃər/,育てる、養う,to help someone or something develop,子ども・能力・才能・価値観などを時間をかけて育てる時に使う。教育・家庭・自己成長の話題でかなり使いやすい。,nurture talent / nurture creativity / nurture children / nurture skills,Schools should nurture creativity as well as academic ability.,学校は学力だけでなく創造性も育てるべきである。,develop; foster; cultivate; encourage,Task 2のeducation topicで非常に便利。
133,discipline,noun,/ˈdɪsəplɪn/,規律、自制、学問分野,"control, order, or a field of study",「規律」だけでなく、自分をコントロールする力や学問分野という意味もある。教育・仕事・子育て・勉強習慣の話題で使いやすい。,self-discipline / strict discipline / academic discipline / maintain discipline,Self-discipline is essential for students who study online.,オンラインで学ぶ学生にとって、自制心は不可欠である。,self-control; order; training; field of study,Task 2のeducationやwork topicでかなり使いやすい。
134,relevance,noun,/ˈreləvəns/,関連性、重要性,connection with the topic or situation,ある内容がテーマ・目的・現実社会とどれくらい関係しているかを表す。学習内容や政策の有用性を説明する時に便利。,practical relevance / direct relevance / relevance to daily life / lack relevance,Some school subjects have clear relevance to students’ future careers.,一部の学校科目は学生の将来の職業と明確な関連性がある。,connection; importance; usefulness; applicability,Task 2で “the relevance of...” として使いやすい。
135,strengthen,verb,/ˈstreŋθən/,強化する、強くする,to make something stronger,能力・関係・制度・主張などを強くする時に使う。Task 2で解決策や効果を説明する時に便利。,strengthen skills / strengthen relationships / strengthen the economy / strengthen regulations,Extracurricular activities can strengthen students’ social skills.,課外活動は学生の社会的スキルを強化できる。,reinforce; improve; enhance; consolidate,Task 2で非常に使いやすい基本動詞。
136,curriculum,noun,/kəˈrɪkjələm/,カリキュラム、教育課程,the subjects taught in a school or course,学校やコースで教えられる内容全体を指す。教育トピックで必須級の語。複数形は “curricula” または “curriculums”。,school curriculum / national curriculum / curriculum design / broaden the curriculum,Financial education should be included in the school curriculum.,金融教育は学校のカリキュラムに含まれるべきである。,syllabus; course content; study programme; educational programme,Task 2のeducation topicでかなり重要。
137,alleviate,verb,/əˈliːvieɪt/,軽減する、和らげる,to make a problem less serious,問題・苦痛・貧困・ストレスなどを完全に解決するのではなく、程度を軽くする時に使う。フォーマルでWriting向き。,alleviate poverty / alleviate stress / alleviate pressure / alleviate symptoms,Government support can help alleviate poverty among low-income families.,政府の支援は低所得家庭の貧困を軽減するのに役立つ。,reduce; ease; relieve; lessen,Task 2の社会問題・健康・教育で使いやすい。
138,extracurricular activities,noun,/ˌekstrəkəˈrɪkjələr ækˈtɪvətiz/,課外活動,activities outside regular classes,授業外で行うクラブ活動・スポーツ・ボランティアなどを指す。教育・子どもの成長・スキル形成の話題で使いやすい。,participate in extracurricular activities / after-school extracurricular activities / extracurricular activities at school / benefit from extracurricular activities,Extracurricular activities help students develop teamwork and leadership skills.,課外活動は学生がチームワークやリーダーシップの力を育てるのに役立つ。,after-school activities; club activities; non-academic activities; enrichment activities,Task 2のeducation topicで非常に便利。
139,objective,noun,/əbˈdʒektɪv/,目的、目標,a goal or purpose,目標や目的を表すフォーマルな語。“goal” より少し硬く、教育・政策・仕事の文脈で使いやすい。,main objective / clear objective / achieve an objective / policy objective,The main objective of education is not only to prepare students for exams.,教育の主な目的は、学生を試験に備えさせることだけではない。,aim; goal; purpose; target,Task 2で “the main objective of...” が使いやすい。
140,little to no,phrase,/ˈlɪtl tə noʊ/,ほとんど〜ない,almost none,何かが非常に少ない、または全くないことを表す自然な表現。SpeakingでもWritingでも使えるが、やや口語的なので使いすぎ注意。,little to no experience / little to no evidence / little to no impact / little to no support,Some students have little to no access to digital devices at home.,一部の学生は家庭でデジタル機器をほとんど、または全く利用できない。,almost no; hardly any; minimal; nearly none,Task 2で格差やアクセスの話題に便利。
141,marked by,phrase,/mɑːrkt baɪ/,〜を特徴とする,characterised by something,ある時代・状況・場所が特定の特徴を持っていることを表すフォーマル表現。Task 1やTask 2で特徴説明に使いやすい。,marked by rapid growth / marked by inequality / marked by change / marked by uncertainty,The period was marked by rapid growth in online education.,その期間はオンライン教育の急速な成長を特徴としていた。,characterised by; defined by; featuring; distinguished by,Task 1で時期の特徴をまとめる時に便利。
142,intensify,verb,/ɪnˈtensəfaɪ/,強まる、強化する,to become or make something stronger,競争・問題・圧力・対立などが強くなる時に使う。増加を表すだけでなく、深刻さが増すニュアンスがある。,intensify competition / intensify pressure / intensify efforts / intensify problems,Competition for university places has intensified in recent years.,近年、大学の入学枠をめぐる競争は激化している。,increase; strengthen; escalate; heighten,Task 2で社会問題や競争を説明する時に便利。
143,undertaking,noun,/ˌʌndərˈteɪkɪŋ/,大きな仕事、取り組み,a difficult or important task,時間・労力・計画が必要な大きな仕事やプロジェクトを指す。ややフォーマルで、政策や改革の説明に使える。,major undertaking / difficult undertaking / expensive undertaking / ambitious undertaking,Reforming the education system is a major undertaking.,教育制度を改革することは大きな取り組みである。,task; project; effort; enterprise,Task 2で改革・政策・大規模事業を説明する時に使える。
144,hinge on,phrase,/hɪndʒ ɑːn/,〜にかかっている、〜次第である,to depend on something,成功・結果・判断などが特定の要因に大きく左右される時に使う。少し高度だがTask 2で使える自然な表現。,hinge on funding / hinge on public support / hinge on implementation / hinge on education,The success of this policy hinges on proper implementation.,この政策の成功は適切な実施にかかっている。,depend on; rely on; be based on; rest on,Task 2で “success hinges on...” が便利。
145,cautiously,adverb,/ˈkɔːʃəsli/,慎重に、用心深く,carefully to avoid risk,危険や失敗を避けるために注意深く行動する様子を表す。政策・投資・新技術の導入などの話題で使いやすい。,proceed cautiously / act cautiously / approach cautiously / cautiously optimistic,New technology should be introduced cautiously in schools.,新しい技術は学校に慎重に導入されるべきである。,carefully; prudently; warily; with caution,Task 2でバランスのある意見を述べる時に便利。
146,embody,verb,/ɪmˈbɑːdi/,体現する、具体的に表す,to represent an idea or quality,価値観・考え方・特徴を人や物が形として表している時に使う。抽象的でやや高度な語。,embody values / embody tradition / embody the spirit of / embody principles,Traditional festivals embody the cultural values of a community.,伝統的な祭りは地域社会の文化的価値観を体現している。,represent; express; symbolise; exemplify,Task 2のculture topicで使えるが、無理に多用しない。
147,adequate,adjective,/ˈædɪkwət/,十分な、適切な,enough for a purpose,必要最低限を満たしているという意味。“good” より客観的で、教育・医療・設備・資金の話題で使いやすい。,adequate funding / adequate support / adequate facilities / adequate preparation,Students need adequate support to succeed in higher education.,学生が高等教育で成功するには十分な支援が必要である。,sufficient; enough; satisfactory; acceptable,Task 2で “adequate support/funding” がかなり使いやすい。
148,conversely,adverb,/ˈkɑːnvɝːsli/,逆に、反対に,on the other hand,前の内容と対照的な情報を述べる時に使う。 “On the other hand” よりフォーマルで、Writing向き。,"conversely, some argue / conversely, others believe / conversely, rural areas / conversely, this may","Some students benefit from online learning; conversely, others need face-to-face support.",オンライン学習から恩恵を受ける学生もいるが、逆に対面での支援を必要とする学生もいる。,in contrast; on the other hand; however; by contrast,Task 1・Task 2で対比を作る時に便利。
149,invaluable,adjective,/ɪnˈvæljuəbl/,非常に貴重な、極めて有益な,extremely useful or valuable,“valuable” よりさらに強く、「お金に換えられないほど役立つ」という意味。 “not valuable” ではないので注意。,invaluable experience / invaluable support / invaluable skills / invaluable resource,Work experience can be invaluable for young people.,職業経験は若者にとって非常に貴重なものになり得る。,extremely useful; precious; highly valuable; essential,SpeakingやTask 2で使いやすい。意味の勘違いに注意。
150,outlay,noun,/ˈaʊtleɪ/,支出、初期費用,an amount of money spent,事業・設備・教育などにかかる費用を表すフォーマルな語。特に初期投資や大きな支出に使う。,initial outlay / financial outlay / capital outlay / large outlay,"Although the initial outlay is high, solar panels can reduce energy costs over time.",初期費用は高いが、太陽光パネルは長期的にエネルギー費を削減できる。,expenditure; cost; spending; investment,Task 2のeconomyやtechnology topicで使えるが、少し硬め。
151,intermittency,noun,/ˌɪntərˈmɪtənsi/,断続性、不安定に途切れる性質,the quality of stopping and starting repeatedly,特に再生可能エネルギーで、太陽光や風力が常に発電できない性質を表す時によく使う。専門的だが、energy topicではかなり便利。,energy intermittency / renewable intermittency / problem of intermittency / deal with intermittency,Energy storage can help address the intermittency of solar and wind power.,蓄電は太陽光や風力発電の断続性に対処するのに役立つ。,irregularity; variability; fluctuation; inconsistency,Task 2のrenewable energy topicで使える専門語。
152,foremost,adjective,/ˈfɔːrmoʊst/,最も重要な、第一の,most important or leading,重要性や地位が最上位であることを表す。“first and foremost” の形でもよく使われる。,foremost concern / foremost priority / foremost expert / first and foremost,The foremost priority should be protecting vulnerable communities.,最も重要な優先事項は、弱い立場にある地域社会を守ることである。,main; leading; primary; most important,Task 2で “the foremost priority” が使いやすい。
153,intermittent,adjective,/ˌɪntərˈmɪtənt/,断続的な、時々止まる,stopping and starting repeatedly,雨・痛み・電力供給・サービスなどが途切れたり再開したりする時に使う。安定していない状態を説明するのに便利。,intermittent rain / intermittent power supply / intermittent problems / intermittent energy source,Solar power is an intermittent energy source because it depends on sunlight.,太陽光発電は日光に依存するため、断続的なエネルギー源である。,irregular; occasional; sporadic; periodic,Task 2のenergyやinfrastructure topicで使える。
154,exacerbate,verb,/ɪɡˈzæsərbeɪt/,悪化させる、深刻にする,to make a problem worse,すでに存在する問題をさらに悪くする時に使うフォーマルな語。環境・貧困・健康・格差の話題で非常に使いやすい。,exacerbate inequality / exacerbate poverty / exacerbate the problem / exacerbate climate change,Rising living costs can exacerbate social inequality.,生活費の上昇は社会的不平等を悪化させる可能性がある。,worsen; aggravate; intensify; make worse,Task 2で原因や悪影響を説明する時に強い語彙になる。
155,disparity,noun,/dɪˈspærəti/,格差、不均衡,a large difference between groups,収入・教育・地域・男女間などの大きな差を表す。 “difference” より社会問題としての不公平感が強い。,income disparity / regional disparity / gender disparity / reduce disparities,There is a significant disparity in access to healthcare between urban and rural areas.,都市部と地方の間には医療へのアクセスに大きな格差がある。,inequality; gap; imbalance; difference,Task 2のinequality topicで非常に使いやすい。
